factor,quantile,mean_forward_return,observation_count
momentum_20d,1,0.001019032197086369,64
momentum_20d,2,0.0037661340031215095,64
momentum_20d,3,0.003338822898561693,64
momentum_20d,4,0.006215156493684154,64
momentum_20d,5,0.002424460477821525,64
reversal_5d,1,0.006218509030642238,64
reversal_5d,2,0.00555345474638454,64
reversal_5d,3,0.0009249680992064876,64
reversal_5d,4,0.0018588365200529332,64
reversal_5d,5,0.0019172842405422198,64
turnover_proxy_20d,1,0.006708343549027491,64
turnover_proxy_20d,2,0.0010029376121194645,64
turnover_proxy_20d,3,0.002461979580767129,64
turnover_proxy_20d,4,0.0008899133731351267,64
turnover_proxy_20d,5,0.005700643938935777,64
volatility_20d,1,0.006228755976473135,64
volatility_20d,2,0.0010745625188213134,64
volatility_20d,3,0.0016369710467256974,64
volatility_20d,4,0.0026478150320563207,64
volatility_20d,5,0.005179022122114372,64
