date,factor,quantile,forward_return
2021-03-05,momentum_20d,1,0.00934107437325066
2021-03-05,momentum_20d,2,-0.03959274697304245
2021-03-05,momentum_20d,3,-0.03184737005192578
2021-03-05,momentum_20d,4,-0.010892375855898903
2021-03-05,momentum_20d,5,-0.03388148061484684
2021-04-02,momentum_20d,1,-0.03451328886611164
2021-04-02,momentum_20d,2,-0.011572929914491782
2021-04-02,momentum_20d,3,-0.032521033727976933
2021-04-02,momentum_20d,4,-0.003641872948136704
2021-04-02,momentum_20d,5,0.004329430286670297
2021-05-06,momentum_20d,1,0.05948093334080943
2021-05-06,momentum_20d,2,0.017074717067098996
2021-05-06,momentum_20d,3,0.022906237520168446
2021-05-06,momentum_20d,4,0.030787054003082667
2021-05-06,momentum_20d,5,0.04151547733058329
2021-06-03,momentum_20d,1,-0.03290514470778425
2021-06-03,momentum_20d,2,0.033149646891353
2021-06-03,momentum_20d,3,0.014631360885242332
2021-06-03,momentum_20d,4,-0.02368489475363623
2021-06-03,momentum_20d,5,-0.00794008341415992
2021-07-02,momentum_20d,1,-0.08002782367584889
2021-07-02,momentum_20d,2,-0.029985500682047177
2021-07-02,momentum_20d,3,-0.010117792126284324
2021-07-02,momentum_20d,4,-0.03702012238411057
2021-07-02,momentum_20d,5,0.024446863805680532
2021-07-30,momentum_20d,1,-0.01626887415277932
2021-07-30,momentum_20d,2,0.02667037636189782
2021-07-30,momentum_20d,3,0.04337126240916592
2021-07-30,momentum_20d,4,0.04091797979253734
2021-07-30,momentum_20d,5,0.010646355340744512
2021-08-27,momentum_20d,1,0.013106597263615754
2021-08-27,momentum_20d,2,0.003059191757501482
2021-08-27,momentum_20d,3,0.034276879137204515
2021-08-27,momentum_20d,4,0.06288995217661993
2021-08-27,momentum_20d,5,0.020287473051799728
2021-09-28,momentum_20d,1,0.029186715694495054
2021-09-28,momentum_20d,2,-0.004191726190099319
2021-09-28,momentum_20d,3,-0.02103729817759469
2021-09-28,momentum_20d,4,-0.0231940816143449
2021-09-28,momentum_20d,5,-0.08770258139479462
2021-11-02,momentum_20d,1,0.02585359790880132
2021-11-02,momentum_20d,2,0.018707621442676358
2021-11-02,momentum_20d,3,0.010570913125540066
2021-11-02,momentum_20d,4,-0.0005807508150542281
2021-11-02,momentum_20d,5,-0.014087765243130886
2021-11-30,momentum_20d,1,0.04423387042628999
2021-11-30,momentum_20d,2,0.04841750691529486
2021-11-30,momentum_20d,3,0.04346607019889396
2021-11-30,momentum_20d,4,0.04560053311765946
2021-11-30,momentum_20d,5,-0.00340859739321299
2021-12-28,momentum_20d,1,-0.04284851169763824
2021-12-28,momentum_20d,2,-0.023354631894049935
2021-12-28,momentum_20d,3,-0.03819100716888203
2021-12-28,momentum_20d,4,0.01290746324230486
2021-12-28,momentum_20d,5,-0.01820558673036216
2022-01-26,momentum_20d,1,-0.012921248377629712
2022-01-26,momentum_20d,2,-0.022131424391155147
2022-01-26,momentum_20d,3,-0.04222469059937555
2022-01-26,momentum_20d,4,-0.01896812999763869
2022-01-26,momentum_20d,5,-0.007012239806530647
2022-03-02,momentum_20d,1,-0.08680443426222403
2022-03-02,momentum_20d,2,-0.07319541075832009
2022-03-02,momentum_20d,3,-0.08238658000735895
2022-03-02,momentum_20d,4,-0.05548748493303583
2022-03-02,momentum_20d,5,-0.07259417689379077
2022-03-30,momentum_20d,1,-0.07347313920457163
2022-03-30,momentum_20d,2,-0.06712747023730124
2022-03-30,momentum_20d,3,-0.08152679625807122
2022-03-30,momentum_20d,4,-0.04437541190863235
2022-03-30,momentum_20d,5,-0.06700966158802496
2022-04-29,momentum_20d,1,0.07797372445016859
2022-04-29,momentum_20d,2,0.052983240289748566
2022-04-29,momentum_20d,3,0.046799708534069985
