as_of_date,index_code,symbol,name,market,area_code
2021-01-29,000300,000001,平安银行,a,cn
2021-01-29,000300,000002,万科A,a,cn
2021-01-29,000300,000063,中兴通讯,a,cn
2021-01-29,000300,000066,中国长城,a,cn
2021-01-29,000300,000069,华侨城A,a,cn
2021-01-29,000300,000100,TCL科技,a,cn
2021-01-29,000300,000157,中联重科,a,cn
2021-01-29,000300,000166,申万宏源,a,cn
2021-01-29,000300,000333,美的集团,a,cn
2021-01-29,000300,000338,潍柴动力,a,cn
2021-01-29,000300,000425,徐工机械,a,cn
2021-01-29,000300,000538,云南白药,a,cn
2021-01-29,000300,000568,泸州老窖,a,cn
2021-01-29,000300,000596,古井贡酒,a,cn
2021-01-29,000300,000625,长安汽车,a,cn
2021-01-29,000300,000627,*ST天茂,a,cn
2021-01-29,000300,000651,格力电器,a,cn
2021-01-29,000300,000656,金科股份,a,cn
2021-01-29,000300,000661,长春高新,a,cn
2021-01-29,000300,000671,ST阳光城,a,cn
2021-01-29,000300,000703,恒逸石化,a,cn
2021-01-29,000300,000708,中信特钢,a,cn
2021-01-29,000300,000723,美锦能源,a,cn
2021-01-29,000300,000725,京东方A,a,cn
2021-01-29,000300,000728,国元证券,a,cn
2021-01-29,000300,000768,中航西飞,a,cn
2021-01-29,000300,000776,广发证券,a,cn
2021-01-29,000300,000783,长江证券,a,cn
2021-01-29,000300,000786,北新建材,a,cn
2021-01-29,000300,000858,五粮液,a,cn
2021-01-29,000300,000860,顺鑫农业,a,cn
2021-01-29,000300,000876,新希望,a,cn
2021-01-29,000300,000895,双汇发展,a,cn
2021-01-29,000300,000938,紫光股份,a,cn
2021-01-29,000300,000961,ST中南,a,cn
2021-01-29,000300,000963,华东医药,a,cn
2021-01-29,000300,000977,浪潮信息,a,cn
2021-01-29,000300,001979,招商蛇口,a,cn
2021-01-29,000300,002001,新和成,a,cn
2021-01-29,000300,002007,华兰生物,a,cn
2021-01-29,000300,002008,大族激光,a,cn
2021-01-29,000300,002024,ST易购,a,cn
2021-01-29,000300,002027,分众传媒,a,cn
2021-01-29,000300,002032,苏泊尔,a,cn
2021-01-29,000300,002044,美年健康,a,cn
2021-01-29,000300,002049,紫光国微,a,cn
2021-01-29,000300,002050,三花智控,a,cn
2021-01-29,000300,002120,韵达股份,a,cn
2021-01-29,000300,002129,TCL中环,a,cn
2021-01-29,000300,002142,宁波银行,a,cn
2021-01-29,000300,002146,荣盛发展,a,cn
2021-01-29,000300,002153,石基信息,a,cn
2021-01-29,000300,002157,正邦科技,a,cn
2021-01-29,000300,002179,中航光电,a,cn
2021-01-29,000300,002202,金风科技,a,cn
2021-01-29,000300,002230,科大讯飞,a,cn
2021-01-29,000300,002236,大华股份,a,cn
2021-01-29,000300,002241,歌尔股份,a,cn
2021-01-29,000300,002252,上海莱士,a,cn
2021-01-29,000300,002271,东方雨虹,a,cn
2021-01-29,000300,002304,洋河股份,a,cn
2021-01-29,000300,002311,海大集团,a,cn
2021-01-29,000300,002352,顺丰控股,a,cn
2021-01-29,000300,002371,北方华创,a,cn
2021-01-29,000300,002384,东山精密,a,cn
2021-01-29,000300,002410,广联达,a,cn
2021-01-29,000300,002414,高德红外,a,cn
2021-01-29,000300,002415,海康威视,a,cn
2021-01-29,000300,002422,科伦药业,a,cn
2021-01-29,000300,002456,欧菲光,a,cn
2021-01-29,000300,002460,赣锋锂业,a,cn
2021-01-29,000300,002463,沪电股份,a,cn
2021-01-29,000300,002475,立讯精密,a,cn
2021-01-29,000300,002493,荣盛石化,a,cn
2021-01-29,000300,002508,老板电器,a,cn
2021-01-29,000300,002555,三七互娱,a,cn
2021-01-29,000300,002558,巨人网络,a,cn
2021-01-29,000300,002594,比亚迪,a,cn
2021-01-29,000300,002600,领益智造,a,cn
2021-01-29,000300,002601,龙佰集团,a,cn
2021-01-29,000300,002602,世纪华通,a,cn
2021-01-29,000300,002607,中公教育,a,cn
2021-01-29,000300,002624,完美世界,a,cn
2021-01-29,000300,002673,西部证券,a,cn
2021-01-29,000300,002714,牧原股份,a,cn
2021-01-29,000300,002736,国信证券,a,cn
2021-01-29,000300,002739,儒意电影,a,cn
2021-01-29,000300,002773,康弘药业,a,cn
2021-01-29,000300,002812,恩捷股份,a,cn
2021-01-29,000300,002821,凯莱英,a,cn
2021-01-29,000300,002841,视源股份,a,cn
2021-01-29,000300,002916,深南电路,a,cn
